Ride_name,Ride_type_thrill,Ride_type_spinning,Ride_type_slow,Ride_type_small_drops,Ride_type_big_drops,Ride_type_dark,Ride_type_scary,Ride_type_water,Fast_pass,Classic,Age_interest_preschoolers,Height_req_inches,Ride_duration_min,Age_of_ride_years,TA_Stars,Park_location_AK,Park_location_EC,Park_location_HS,Park_location_MK,Park_area_Adventureland,Park_area_Africa,Park_area_Asia,Park_area_Dinoland USA,Park_area_Echo Lake,Park_area_Fantasyland,Park_area_Frontierland,Park_area_Future World,Park_area_Liberty Square,Park_area_Main Street USA,Park_area_Pandora,Park_area_Sunset Boulevard,Park_area_Tomorrowland,Park_area_Toy Story Land,Park_area_World Showcase
Alien Swirling Saucers,0,1,0,0,0,0,0,0,1,0,1,32,1.5,4.314168377823409,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Astro Orbiter,0,1,1,0,0,0,0,0,0,1,1,0,1.5,27.657084188911703,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Avatar Flight of Passage,1,0,0,0,0,0,0,0,1,0,0,44,5.0,5.406570841889117,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Big Thunder Mountain Railroad,1,0,0,1,0,0,0,0,1,1,0,40,3.5,42.08008213552361,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Buzz Lightyear's Space Ranger Spin,0,1,1,0,0,0,0,0,1,0,1,0,4.0,24.043121149897328,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Dinosaur,1,0,0,1,0,1,1,0,1,0,0,40,3.25,24.50308008213552,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Dumbo the Flying Elephant,0,1,1,0,0,0,0,0,1,1,1,0,1.5,51.06023271731691,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Expedition Everest,1,0,0,0,1,1,0,0,1,0,0,44,2.75,16.544147843942508,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Frozen Ever After,0,0,1,1,0,1,0,0,1,0,1,0,5.0,6.3374401095140325,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Gran Fiesta Tour Starring The Three Caballeros,0,0,1,0,0,0,0,0,0,1,1,0,8.0,15.558521560574947,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Haunted Mansion,0,0,1,0,0,1,0,0,1,1,1,0,7.5,51.06023271731691,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
It's a Small World,0,0,1,0,0,0,0,0,1,1,1,0,10.5,51.06023271731691,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Journey Into Imagination with Figment,0,0,1,0,0,1,0,0,1,0,1,0,11.0,20.39356605065024,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Jungle Cruise,0,0,1,0,0,0,0,0,1,1,1,0,9.0,51.06023271731691,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kali River Rapids,1,1,0,1,0,0,0,1,1,0,0,38,3.5,23.684462696783022,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Kilimanjaro Safaris,0,0,1,0,0,0,0,0,1,1,1,0,18.5,24.50308008213552,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Living with the Land,0,0,1,0,0,0,0,0,1,0,1,0,13.75,40.05954825462013,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Mad Tea Party,0,1,0,0,0,0,0,0,1,1,1,0,1.5,51.06023271731691,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Mission Space,1,1,0,0,0,1,0,0,1,0,0,40,5.75,19.060232717316907,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
